name,region,city,state,type,established,nirf_ranking,degrees_offered,streams_offered,website,shiksha_url
IIT Delhi,North,New Delhi,Delhi,IIT (Central Govt - Autonomous),1961,2,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://home.iitd.ac.in,https://www.shiksha.com/university/iit-delhi-new-delhi-11086
IIT Palakkad,South,Palakkad,Kerala,IIT (Central Govt - Autonomous),2015,40,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://iitpkd.ac.in,https://www.shiksha.com/university/iit-palakkad-palakkad-79338
IIT Tirupati,South,Tirupati,Andhra Pradesh,IIT (Central Govt - Autonomous),2015,37,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iittp.ac.in,https://www.shiksha.com/university/iit-tirupati-tirupati-79337
IIT Bhubaneswar,East,Bhubaneswar,Odisha,IIT (Central Govt - Autonomous),2008,24,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitbbs.ac.in,https://www.shiksha.com/university/iit-bhubaneswar-bhubaneswar-21739
IIT Chhattisgarh (ISM Dhanbad),East,Dhanbad,Jharkhand,IIT (Central Govt - Autonomous),1926,15,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitism.ac.in,https://www.shiksha.com/university/iit-ism-dhanbad-dhanbad-11093
IIT Kharagpur,East,Kharagpur,West Bengal,IIT (Central Govt - Autonomous),1951,5,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitkgp.ac.in,https://www.shiksha.com/university/iit-kharagpur-kharagpur-11089
IIT Patna,East,Patna,Bihar,IIT (Central Govt - Autonomous),2008,26,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitp.ac.in,https://www.shiksha.com/university/iit-patna-patna-21744
IIT Bombay,West,Mumbai,Maharashtra,IIT (Central Govt - Autonomous),1958,3,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitb.ac.in,https://www.shiksha.com/university/iit-bombay-mumbai-11085
IIT Gandhinagar,West,Gandhinagar,Gujarat,IIT (Central Govt - Autonomous),2008,20,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitgn.ac.in,https://www.shiksha.com/university/iit-gandhinagar-gandhinagar-21740
IIT Goa,West,Ponda,Goa,IIT (Central Govt - Autonomous),2016,Not Ranked,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitgoa.ac.in,https://www.shiksha.com/university/iit-goa-ponda-118776
IIT Bhilai,Central,Bhilai,Chhattisgarh,IIT (Central Govt - Autonomous),2016,55,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitbhilai.ac.in,https://www.shiksha.com/university/iit-bhilai-raipur-118775
IIT Indore,Central,Indore,Madhya Pradesh,IIT (Central Govt - Autonomous),2009,9,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iiti.ac.in,https://www.shiksha.com/university/iit-indore-indore-36517
IIT Guwahati,Northeast,Guwahati,Assam,IIT (Central Govt - Autonomous),1994,7,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitg.ac.in,https://www.shiksha.com/university/iit-guwahati-guwahati-11091
